slug,title,category,editorial_status,A,B,C,D,E,F,G,H,I,J,K,L,overall,tier,reader_test,recognition_evidence,unique_insight_evidence,generic_dictionary_test,generic_dictionary_note,nearest_neighbor_slug,neighbor_similarity,collision,independent_intent,primary_reason,secondary_reasons,trust_risks,word_count,reflection_question_count,related_dream_count,related_reason_count
seeing-god,Seeing God,Biblical dreams,,3,3,3,2,1,3,2,3,3,2,3,3,31,P3,Passes,"Seeing God surrounded by light Often creates overwhelming peace, awe, hope, and emotional clarity.","Seeing God from afar symbolizes spiritual seeking, personal growth, and recognizing that some journeys unfold gradually rather than all at once.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",speaking-to-god,0.568,true,"Potentially defensible if this distinction remains central: Seeing God from afar symbolizes spiritual seeking, personal growth, and recognizing that some journeys unfold gradually rather than all at once.",Generic interpretation,Excessive repetition; Likely duplicate intent,,2046,4,10,10
angels,Angels,Spiritual dreams,,2,3,2,2,2,3,2,3,2,2,3,2,28,P3,Passes,"Comfort may reflect felt support, whereas awe can combine safety with recognition of something beyond personal control.","Why angel dreams feel comforting Many people associate angels with safety, support, and protection, creating a naturally reassuring emotional atmosphere.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",fighting-an-angel,0.4132,false,The closest neighbor does not currently erase this page's independent intent.,Weak opening,Generic interpretation; Insufficient symbolic context,,929,5,6,6
darkness,Darkness,Anxiety and fear,,2,2,2,1,2,2,2,3,2,2,3,2,25,P2,Passes,"darkness with no fear Can reflect acceptance, introspection, patience, or comfort with temporarily not having all the answers.","Unlike symbols associated with direct danger, darkness often represents uncertainty itself rather than a specific threat.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",floating-in-a-dark-void,0.3758,false,The closest neighbor does not currently erase this page's independent intent.,Poor conditional scenarios,,,1121,5,5,5
hearing-bells,Hearing / Seeing Bells,Spiritual dreams,KEEP,3,3,3,1,3,1,1,1,1,2,3,2,24,P2,Passes,"Hearing or seeing bells in a dream can mark attention, timing, celebration, warning, or a call you are unsure how to answer.","hearing church bells Peace, reflection, comfort, or spiritual curiosity may emerge.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",hearing-your-name-called,0.1531,false,The closest neighbor does not currently erase this page's independent intent.,Insufficient emotional context,Insufficient symbolic context; Weak spiritual/biblical interpretation,,580,5,3,3
seeing-a-dead-person,Seeing a Dead Person,Death and grief,KEEP,3,3,3,1,1,2,1,2,1,2,3,2,24,P2,Passes,"seeing a distressed dead person May reflect grief, guilt, unresolved feelings, fear, worry, or emotional discomfort connected to the relationship.","seeing a dead person smiling Can reflect comfort, reassurance, healing, gratitude, acceptance, or peace.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",talking-to-a-dead-person,0.4962,true,"Potentially defensible if this distinction remains central: seeing a dead person smiling Can reflect comfort, reassurance, healing, gratitude, acceptance, or peace.",Generic interpretation,Insufficient symbolic context; No practical connection,,636,5,4,4
fire,Fire,Transformation and life transitions,,2,2,2,1,0,2,2,3,3,2,3,2,24,P1,Passes,"Fire dreams often reflect intense emotions, transformation, emotional pressure, passion, anger, destruction, release, or powerful change that feels impossible to ignore.","Symbolically, fire often represents intensity, emotional pressure, transformation, destruction, renewal, passion, anger, emotional release, purification, motivation, or emotionally powerful change.",Mostly yes,"The page needs a more dream-specific distinction, conditional scenario, or reflection that could not be reused broadly.",house-on-fire,0.6109,true,"Potentially defensible if this distinction remains central: Symbolically, fire often represents intensity, emotional pressure, transformation, destruction, renewal, passion, anger, emotional release, purification, motivation, or emotionally powerful change.",Generic interpretation,Excessive repetition; Likely duplicate intent,,1179,4,6,6
holding-a-baby,Holding a baby,Family,,3,3,3,2,0,2,2,3,3,2,3,2,28,P3,Passes,"holding a calm or happy baby Often reflects emotional comfort, healing, fulfillment, emotional connection, or feeling emotionally aligned with something meaningful developing in your life.","feeling joyful while holding the baby Can reflect emotional fulfillment, hope, love, healing, emotional readiness, or excitement surrounding emotionally meaningful growth and change.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",seeing-baby-boy,0.6992,true,"Potentially defensible if this distinction remains central: feeling joyful while holding the baby Can reflect emotional fulfillment, hope, love, healing, emotional readiness, or excitement surrounding emotionally meaningful growth and change.",Generic interpretation,Excessive repetition; Likely duplicate intent,,967,4,5,5
seeing-baby-boy,Seeing a baby boy,Family,,3,3,3,1,0,1,2,3,3,2,3,2,26,P2,Passes,"seeing a smiling or happy baby boy May reflect emotional hope, healing, emotional comfort, confidence, or positive emotional developments beginning to unfold.","seeing a crying baby boy Can reflect emotional vulnerability, emotional needs, unresolved feelings, insecurity, or emotionally fragile situations requiring attention and care.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",holding-a-baby,0.6992,true,"Potentially defensible if this distinction remains central: seeing a crying baby boy Can reflect emotional vulnerability, emotional needs, unresolved feelings, insecurity, or emotionally fragile situations requiring attention and care.",Generic interpretation,Excessive repetition; Likely duplicate intent,,986,4,6,6
seeing-baby-girl,Seeing a baby girl,Family,,3,3,3,2,0,1,2,3,3,2,3,2,27,P2,Passes,"seeing a smiling or peaceful baby girl May reflect emotional harmony, healing, emotional comfort, intuition, or positive emotional developments unfolding naturally.","seeing a crying baby girl Can reflect emotional vulnerability, unresolved feelings, emotional sensitivity, healing needs, or emotionally fragile situations requiring care and understanding.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",seeing-baby-boy,0.6823,true,"Potentially defensible if this distinction remains central: seeing a crying baby girl Can reflect emotional vulnerability, unresolved feelings, emotional sensitivity, healing needs, or emotionally fragile situations requiring care and understanding.",Generic interpretation,Excessive repetition; Likely duplicate intent,,1022,4,6,6
having-sex,Having Sex,Relationships,,3,3,2,2,3,2,2,3,2,2,3,3,30,P3,Passes,"having sex with a stranger Often reflects unexplored desires, undiscovered aspects of yourself, new possibilities, or unfamiliar qualities emerging within your personality.","having sex with a celebrity May symbolize ambition, confidence, success, recognition, or qualities you associate with that public figure.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",marrying-someone-you-know,0.2845,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Insufficient emotional context; Insufficient symbolic context,,877,4,4,4
being-unable-to-scream,Being unable to scream,Anxiety and fear,,3,3,3,1,1,3,2,2,3,2,3,2,28,P3,Passes,"Dreams about being unable to scream often reflect feeling powerless, unheard, emotionally suppressed, vulnerable, trapped, overwhelmed, ignored, or unable to express important thoughts, fears, needs, or emotions.","trying to scream during danger Often symbolizes fear, vulnerability, helplessness, or feeling unable to protect yourself.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",being-unable-to-speak,0.5272,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Poor conditional scenarios; Excessive repetition,,959,5,7,7
running-slowly,Running slowly,Transformation and life transitions,,3,3,2,1,0,2,2,3,2,2,3,2,25,P1,Passes,"running slowly while being chased Often symbolizes anxiety, pressure, fear, avoidance, or feeling unable to escape a stressful situation.","running slowly toward a destination May reflect delayed goals, frustration, obstacles, or challenges affecting progress.",Mostly yes,"The page needs a more dream-specific distinction, conditional scenario, or reflection that could not be reused broadly.",running-but-cant-move-fast,0.6285,true,"Potentially defensible if this distinction remains central: running slowly toward a destination May reflect delayed goals, frustration, obstacles, or challenges affecting progress.",Generic interpretation,Excessive repetition; Likely duplicate intent,,944,5,7,7
seeing-someone-you-miss,Seeing someone you miss,Relationships,,3,3,3,2,1,2,2,3,2,2,3,2,28,P3,Passes,"seeing someone you miss from childhood Often reflects nostalgia, innocence, personal history, and meaningful memories.","seeing someone you miss but being unable to reach them Often symbolizes longing, emotional distance, unfinished feelings, or unresolved circumstances.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",meeting-someone-from-your-past,0.5187,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Excessive repetition; Likely duplicate intent,,989,5,5,5
hair-growing-rapidly,Hair growing rapidly,Body-related dreams,KEEP,3,3,3,1,0,1,1,1,1,2,3,2,21,P1,Passes,"cutting rapidly growing hair May symbolize managing change, controlling growth, simplifying responsibilities, or adjusting priorities.","facial hair growing rapidly May symbolize maturity, authority, personal power, responsibility, or changing identity.",Mostly yes,"The page needs a more dream-specific distinction, conditional scenario, or reflection that could not be reused broadly.",hair-falling-out,0.6614,true,"Potentially defensible if this distinction remains central: facial hair growing rapidly May symbolize maturity, authority, personal power, responsibility, or changing identity.",Generic interpretation,Excessive repetition; Likely duplicate intent,,552,5,3,3
being-accused-of-something-you-didnt-do,Being accused of something you didn't do,Relationships,,3,3,2,1,3,2,2,3,2,2,3,2,28,P3,Passes,"Dreams about being accused of something you didn't do often reflect feeling misunderstood, unfairly judged, blamed, mistrusted, vulnerable, defensive, anxious about reputation, or frustrated that others do not see the truth of a situation.","being accused by a stranger Often symbolizes fear of judgment, social pressure, reputation concerns, or insecurity about how others perceive you.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",being-judged,0.2949,false,The closest neighbor does not currently erase this page's independent intent.,Poor conditional scenarios,,,1003,5,7,7
disappearing-in-a-crowd,Disappearing in a crowd,Transformation and life transitions,,3,3,2,0,2,2,2,2,3,2,3,2,26,P2,Passes,"A hostile crowd differs from a celebratory one, and relief at disappearing differs sharply from panic.","slowly disappearing into a crowd Often symbolizes gradually losing touch with personal identity, priorities, or self-expression.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",being-in-a-room-with-many-people,0.3909,false,The closest neighbor does not currently erase this page's independent intent.,Poor conditional scenarios,,,901,5,5,5
travel,Travel,Travel and transportation,,3,2,2,2,1,2,2,2,2,2,3,2,25,P2,Passes,"traveling by train Often symbolizes following a structured path, life plans, routines, or predetermined directions.","The dream may ask whether the destination reflects your values, whether you have adequate resources, and whether you are traveling by choice or simply being carried by circumstances.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",traveling-to-your-dream-destination,0.4638,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Excessive repetition,,882,5,5,5
work-stress,Work stress,Transformation and life transitions,,3,3,2,1,2,2,2,2,3,2,3,2,27,P2,Passes,"Dreams about work stress often reflect pressure, responsibility, burnout, performance anxiety, overwhelm, unmet expectations, emotional exhaustion, ambition, or concerns about stability, achievement, and control.",Someone balancing multiple responsibilities may dream of work stress because their mental energy is stretched thin.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",being-late,0.3424,false,The closest neighbor does not currently erase this page's independent intent.,Poor conditional scenarios,,,889,5,5,5
animal-attack,Animal attack,Animals and creatures,,3,3,3,1,1,3,2,2,3,2,3,2,28,P3,Passes,"Fear may focus on injury, but betrayal becomes central when a trusted animal attacks.",Direct fear residue Someone recently chased by an animal may replay an attack while processing the real event.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",intimacy-with-an-animal,0.5001,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Poor conditional scenarios; Excessive repetition,,964,5,5,5
abandonment,Abandonment,Anxiety and fear,,3,3,2,0,2,2,2,3,2,0,3,2,24,P2,Passes,"What psychologists might see in this dream From a psychological perspective, abandonment dreams may reflect attachment concerns, relationship anxiety, fear of rejection, unresolved grief, childhood experiences, insecurity, or emotional vulnerability.","Why recurring abandonment dreams happen Recurring dreams often suggest ongoing attachment fears, unresolved emotional wounds, relationship insecurity, grief, or unmet emotional needs that continue seeking attention.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",partner-cheating-on-you,0.3632,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,Poor conditional scenarios,,1094,0,6,6
seeing-the-devil,Seeing the Devil,Anxiety and fear,,3,3,3,1,3,1,2,3,2,0,3,2,26,P2,Passes,"Dreams about seeing the devil often reflect fear, temptation, guilt, inner conflict, destructive influences, spiritual struggles, suppressed emotions, or confronting parts of yourself or your life that feel dangerous, unhealthy, or difficult to face honestly.","being afraid of the devil May symbolize fear of consequences, guilt, vulnerability, anxiety, or feeling overwhelmed by a situation.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",evil-presence,0.217,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1195,0,5,5
talking-to-yourself,Talking to yourself,Transformation and life transitions,,3,3,2,1,2,1,2,3,2,2,3,2,26,P2,Passes,"seeing multiple versions of yourself talking May reflect identity exploration, internal debate, personal complexity, or different aspects of your personality.","talking to your younger self May symbolize healing, self-compassion, personal growth, or reconnecting with forgotten aspects of yourself.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",different-reflection-in-the-mirror,0.3587,false,The closest neighbor does not currently erase this page's independent intent.,Insufficient emotional context,Poor conditional scenarios,,953,5,6,6
crying,Crying,Anxiety and fear,,2,3,2,1,2,2,2,3,3,0,3,2,25,P2,Passes,"Relief versus sadness in crying dreams Some crying dreams reflect grief, sadness, or emotional pain, while others symbolize emotional release, healing, vulnerability, or relief after long periods of suppression.","crying from sadness Often reflects grief, heartbreak, loneliness, disappointment, emotional pain, or unresolved emotional wounds.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",baby-crying,0.4503,true,"Potentially defensible if this distinction remains central: crying from sadness Often reflects grief, heartbreak, loneliness, disappointment, emotional pain, or unresolved emotional wounds.",Weak reflection questions,,,1312,0,5,5
driving,Driving,Travel and transportation,KEEP,3,3,3,2,2,2,2,2,3,2,3,2,29,P3,Passes,Fear while a passenger may reveal dependence or trust; fear while driving may concern consequences you believe belong to you.,"If the dream follows real driving fear or danger, address that experience directly rather than treating it as a symbolic forecast.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",driving-a-car-without-control,0.456,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Insufficient emotional context; Insufficient symbolic context,,834,5,5,5
driving-a-car-without-control,Driving a car without control,Travel and transportation,,3,3,2,1,1,2,2,2,3,2,3,2,26,P2,Passes,"Dreams about driving a car without control often reflect uncertainty, overwhelm, loss of direction, anxiety, major life transitions, pressure, impulsive decisions, or concerns about your ability to manage important areas of your life.","car accelerating uncontrollably Often symbolizes situations moving too quickly, mounting pressure, or fear of losing stability.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",car-accident,0.4888,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Poor conditional scenarios; Excessive repetition,,981,5,5,5
flying-then-falling,Flying then falling,Transformation and life transitions,KEEP,3,3,3,2,1,2,1,2,2,2,3,3,27,P2,Passes,"Flying then falling creates a contrast: confidence or possibility gives way to exposure, uncertainty, or a fear of losing progress.","Why recurring dreams happen Recurring dreams about flying then falling may suggest ongoing concerns involving success, pressure, uncertainty, self-confidence, or fear of losing progress.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",flying,0.4973,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Insufficient symbolic context; Excessive repetition,,865,5,4,4
driving-on-a-road-that-keeps-changing,Driving on a road that keeps changing,Travel and transportation,IMPROVE,3,3,2,1,2,1,2,3,3,0,3,2,25,P2,Passes,"Dreams about driving on a road that keeps changing often reflect uncertainty, life transitions, changing circumstances, shifting goals, adaptability, loss of predictability, personal growth, or difficulty navigating an evolving situation.","Why changing roads feel unsettling People often seek predictability, making constantly shifting paths a powerful symbol of uncertainty.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",stranded-on-the-road,0.3799,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,799,0,5,5
eyes,Eyes,Spiritual dreams,KEEP,3,3,2,2,0,2,2,2,3,2,3,2,26,P2,Passes,"Someone looks directly into your eyes The gaze can express intimacy, recognition, challenge, or judgment depending on who they are and whether you want the contact.","If the dreamer closes their own eyes and feels peaceful, the image may concern rest or a chosen boundary rather than denial.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",eyes-staring-at-you-in-the-dark,0.5977,true,"Potentially defensible if this distinction remains central: If the dreamer closes their own eyes and feels peaceful, the image may concern rest or a chosen boundary rather than denial.",Generic interpretation,Excessive repetition,,1026,5,3,3
eyes-staring-at-you-in-the-dark,Eyes staring at you in the dark,Anxiety and fear,,3,3,3,1,0,2,2,3,3,0,3,2,25,P2,Passes,"Dreams about eyes staring at you in the dark often reflect hidden fears, unresolved emotions, anxiety about the unknown, self-awareness, intuition, or the feeling that something important is demanding attention from beneath the surface of your conscious mind.","frightening eyes in the dark May symbolize hidden fears, unresolved emotions, anxiety, or situations that feel psychologically threatening.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",eyes,0.5977,true,"Potentially defensible if this distinction remains central: frightening eyes in the dark May symbolize hidden fears, unresolved emotions, anxiety, or situations that feel psychologically threatening.",Generic interpretation,Weak reflection questions; Excessive repetition,,1122,0,4,4
moving-to-a-new-house,Moving to a new house,Houses and places,,3,3,3,1,0,2,2,3,2,0,3,2,24,P2,Passes,"moving into an unfamiliar house Often reflects uncertainty, new opportunities, identity shifts, or entering unfamiliar territory in life.","Someone accepting a promotion may dream of moving into a new house because their responsibilities, routines, and future expectations are changing.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",new-house,0.6984,true,"Potentially defensible if this distinction remains central: Someone accepting a promotion may dream of moving into a new house because their responsibilities, routines, and future expectations are changing.",Generic interpretation,Weak reflection questions; Excessive repetition,,1160,0,5,5
blood,Blood,Body-related dreams,,3,2,2,1,3,0,2,3,3,0,3,2,24,P2,Passes,"blood on your hands Often reflects guilt, responsibility, regret, accountability, or feeling connected to the outcome of a situation.","Why recurring blood dreams matter Recurring dreams often suggest unresolved emotional wounds, ongoing stress, unprocessed grief, or experiences that continue carrying emotional weight.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",partner-cheating-on-you,0.1114,false,The closest neighbor does not currently erase this page's independent intent.,Insufficient emotional context,Weak reflection questions,,1081,0,4,4
lion-chasing-you,Lion chasing you,Animals and creatures,,3,3,3,1,0,1,2,3,2,2,3,2,25,P2,Passes,"Dreams about a lion chasing you often reflect powerful fears, avoidance, pressure, authority, personal challenges, unresolved emotions, survival instincts, or situations that feel intimidating, demanding, or impossible to ignore.","a lion chasing you in the dark May reflect uncertainty, hidden fears, anxiety, or concerns about the unknown.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",being-chased-by-a-lion,0.7298,true,"Potentially defensible if this distinction remains central: a lion chasing you in the dark May reflect uncertainty, hidden fears, anxiety, or concerns about the unknown.",Generic interpretation,Excessive repetition; Likely duplicate intent,,961,5,5,5
being-kidnapped,Being Kidnapped,Anxiety and fear,,3,2,2,1,3,2,2,3,3,0,3,2,26,P2,Passes,"Dreams about being kidnapped often reflect loss of control, feeling trapped, external pressure, manipulation, fear of losing independence, unwanted responsibilities, or situations that seem to be pulling your life in a direction you did not choose.","being kidnapped by a stranger Often reflects uncertainty, fear of the unknown, major life changes, or external circumstances that feel unpredictable.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",being-possessed,0.2639,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1119,0,5,5
snake-in-the-house,Snake in the house,Animals and creatures,,3,3,3,1,0,2,2,3,3,2,3,2,27,P2,Passes,"a threatening snake in the house May reflect fear, tension, trust issues, emotional pressure, or situations that feel intrusive.","removing the snake from the house Often symbolizes resolving a concern, establishing boundaries, gaining clarity, or confronting a problem directly.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",snake,0.6805,true,"Potentially defensible if this distinction remains central: removing the snake from the house Often symbolizes resolving a concern, establishing boundaries, gaining clarity, or confronting a problem directly.",Generic interpretation,Excessive repetition; Likely duplicate intent,,1000,5,5,5
black-snake,Black snake,Animals and creatures,,3,3,3,2,0,2,2,3,2,2,3,2,27,P2,Passes,"a calm black snake Often symbolizes intuition, hidden wisdom, emotional depth, healing, or transformation unfolding peacefully.",Calm transformation Someone accepting a difficult transition might dream of a motionless black snake shedding its skin.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",snake,0.6085,true,Potentially defensible if this distinction remains central: Calm transformation Someone accepting a difficult transition might dream of a motionless black snake shedding its skin.,Generic interpretation,Excessive repetition; Likely duplicate intent,,1163,5,5,5
giant-snake,Giant snake,Animals and creatures,,3,3,3,1,0,2,2,3,3,2,3,2,27,P2,Passes,"Dreams about a giant snake often reflect overwhelming emotions, powerful transformation, major fears, significant life changes, hidden influences, personal growth, emotional intensity, or situations that feel larger, more important, or more impactful than usual.","A distant giant snake differs from one filling a room, and calm observation differs from attack.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",snake,0.5884,true,"Potentially defensible if this distinction remains central: A distant giant snake differs from one filling a room, and calm observation differs from attack.",Generic interpretation,Excessive repetition,,1114,5,5,5
friendly-snake,Friendly snake,Animals and creatures,,3,3,3,2,0,2,2,2,2,2,3,2,26,P2,Passes,"Dreams about a friendly snake often reflect healing, transformation, wisdom, intuition, personal growth, emotional acceptance, hidden potential, trust, or learning to become comfortable with something that once felt frightening or misunderstood.","Symbolically, a friendly snake often represents transformation that no longer needs to be feared.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",snake,0.6665,true,"Potentially defensible if this distinction remains central: Symbolically, a friendly snake often represents transformation that no longer needs to be feared.",Generic interpretation,Excessive repetition; Likely duplicate intent,,926,5,5,5
